Key,Value
"Dus",1
"j a",1
"#Bu",1
" i?",1
"lüs",1
" ow",1
"h W",1
"50k",1
"g B",1
"va'",1
"2:0",1
":08",1
"wak",2
" ub",1
"- w",1
"däd",1
"FM ",1
"M g",1
" b'",1
"b's",1
"azi",1
"zi,",1
"X g",1
"gsh",1
"SAG",1
"AGG",1
"GGL",1
"GLE",1
"4 L",1
"Läd",1
"nkf",1
"kfu",1
"lco",1
"n 👌",1
"/to",1
"oa5",1
"5p5",1
"p50",1
"jne",1
"id?",1
"Wes",1
"edh",1
"dho",1
"lo.",1
"'Si",1
"åg:",1
"m",",1
"g R",1
"aea",1
"kme",1
"enå",1
"0 R",1
"Rit",1
"o 4",1
"baß",1
"Gne",2
"alu",2
"lud",2
"A l",1
"å g",1
"pmw",1
"mwa",1
"Wam",1
"ila",1
"van",1
"swu",1
"ß D",1
"Ged",1
"ooß",1
"äia",2
"hd?",1
"niu",1
"Gal",1
" El",1
"h (",1
"joh",1
"Zoa",1
"ibb",1
"afm",1
"ßbl",1
"ti ",1
"Hon",2
"Doc",1
"Oa.",1
"fag",1
"nak",1
"akl",1
"'Lu",1
"bäs",1
"exd",2
"ln)",1
"Did",1
"Gag",1
"mke",1
"sä,",1
"asä",2
"s'Z",1
"ghu",1
"@Ed",1
"Ext",1
"rdl",1
"imh",1
"mhü",1
" 'w",1
"xld",1
"åri",1
"'Fi",1
"'Mu",1
"håf",1
"åf ",1
"'Bi",2
"åm ",1
"åm,",1
"Lua",3
"xd.",1
"dlt",1
"Gna",1
"hnw",1
"nwä",1
"vaz",1
"zäi",1
"vaa",1
"Bon",1
"(14",1
"aaz",4
"h",",1
"(Ra",1
"al)",1
"ux ",1
"x r",1
"Fux",2
"ux,",1
"åsc",2
" Tü",1
"Tür",1
"'sa",1
"x W",1
"ms.",1
"gää",1
"zgr",1
"Zwä",2
"n I",1
" IQ",1
"IQ ",1
"Q ü",1
"120",1
"/Ky",1
"ygX",1
"Xdo",1
"ol9",1
"l9Z",1
"9ZQ",1
"läc",1
"d´S",1
"örc",1
"omä",1
"mä ",1
"gän",1
""Gu",1
"!",",1
"Tie",1
"rpa",1
"rk ",1
"Blå",1
"hüs",1
"Rüs",1
"Lum",2
"mpn",2
"fua",2
"atf",1
"säa",1
"'Au",1
"Grä",2
"ä k",1
"ä w",1
"hå.",1
"wåi",1
"åi ",1
"rk.",3
"blå",1
"Nus",1
"b z",1
"sri",1
"Lus",2
"mso",1
"nä ",4
"e Ä",1
" Äh",1
"Ähr",1
"Gun",1
"Hak",1
"akn",1
"Zru",1
"ßnf",1
"koo",1
"d V",2
"ieh",1
"@In",1
"Ind",1
"dyf",1
"yfc",1
"fcb",1
"cb ",1
"j w",1
"New",1
"sid",1
"o D",1
"Nee",2
"Wåd",1
"aßå",1
"ßå ",1
"ä a",3
"ea,",1
"hdl",2
"ß v",2
"A r",1
"p (",1
"dhi",1
"hi)",1
"rez",1
"Hua",4
"ädd",2
" Äw",1
" Gj",1
"Gjo",1
" bg",1
"z'O",1
"'Os",1
"lez",1
"ezw",1
"gnd",1
"s å",1
"Aga",1
"liu",2
"agå",1
"gåb",1
"b r",2
"Bäb",1
"äbb",1
"s'C",1
"Sil",1
"ilv",1
"lve",1
" (3",1
"(31",1
"aßa",2
"ßad",1
"Zwa",1
" zk",1
"zko",1
"/DK",1
"Km2",1
"m2W",1
"W45",1
"5O5",1
"O5r",1
"zgl",1
"Gig",1
"x N",1
"x O",1
"kab",1
"naw",1
"å l",2
"ul.",2
"ün ",1
"(17",3
"dnw",1
"Lam",1
"s'F",1
"jåh",1
"Roh",1
"ohk",1
"eß,",1
"drä",2
"än,",2
"'Li",2
" Få",1
"Fån",1
"ån ",1
"Gis",1
"x k",1
"nbo",1
"Gab",1
"äa ",3
"k05",1
"05O",1
"5OQ",1
"0gU",1
" (w",1
"hlg",1
"wax",2
") H",1
"mfa",1
"'Be",2
"mga",2
"äim",2
"imd",2
"Oba",1
"Räs",1
"äsa",2
"n å",3
"(20",1
"f ü",1
"åtz",4
"Dau",1
"Dac",1
"dn)",1
"Glä",1
"läz",1
"äzn",1
"(ge",2
"ne)",1
"e).",1
" d´",4
"d´H",2
"´He",2
"Gaw",2
"(ga",1
"z) ",1
"rm!",1
"Umm",1
"Gli",1
"abm",4
"iwå",2
"zfu",1
"rr,",3
"Ree",2
"gg.",1
"zd.",1
"ßds",2
"dt.",3
"äds",2
"hdå",2
"dåd",2
"håm",5
"åm.",3
"But",2
" (R",3
"(Rü",2
"n-T",2
"-Tr",2
"fäß",2
"äß)",2
"e 7",2
"7 B",2
"(10",3
"arv",2
"zri",2
"f (",2
"(=R",2
"=Ra",2
"usd",6
"hrd",3
"ßn.",3
"@Jo",1
"Joe",1
"hoM",1
"oMU",1
"@Pa",1
"af6",1
"f63",1
"i12",2
"121",2
"210",2
"10_",2
"0_M",2
"UC ",3
"C g",1
"m ;",1
"ikk",1
"kka",1
"j o",1
"dyB",4
"ge"",1
"u H",2
"h B",1
"Oit",2
"ta,",2
"Tug",2
"Gno",3
"Baa",7
"Ack",4
"Lun",2
") l",3
"Luz",2
"3.1",2
"då.",2
"tiu",2
"iun",2
" (A",2
"Anf",2
"st)",2
"t) ",2
", W",3
"Düa",2
"(du",2
"ßed",2
"ad)",2
"d).",2
"S'H",2
"fhe",4
"26.",2
"em:",2
"af'",2
"nif",1
"eb'",2
"'n!",2
"A L",2
"Jå,",2
"dä ",3
"Jå ",3
"å u",2
"gä ",3
"ä 3",4
"ft!",2
"dlw",4
"Wun",2
"x S",2
"wåS",2
"åSc",2
"arg",4
"Hür",2
"'Ha",4
"Iii",2
"ii.",2
".aa",2
"önh",2
"Åll",2
"Wåg",2
"oß.",3
"Goc",3
"xtu",2
"Näw",2
"äwe",2
"'Am",2
"Pfe",2
"z's",2
"hnå",3
"sgf",3
"#gs",1
"agS",1
"gSp",1
"mMo",1
" /…",1
"ckf",2
"kfi",2
"d å",3
" ål",8
"rz.",3
"lo!",1
"sdi",8
"chå",4
"eva",2
"Daf",2
"äd)",2
" zh",2
"zhä",2
"ifa",7
"fd,",4
"zt.",2
"ilg",2
"lgn",2
"'Lä",2
"Län",2
"Keg",2
"glb",2
"lba",2
"rnå",2
"å f",3
"fäi",3
"gsä",2
"säg",3
" rå",2
"'Gu",2
"je ",2
"msi",3
"zgk",1
"gkc",1
"cof",1
"Laa",2
"ubm",2
"Völ",2
"Wua",2
"hdh",2
"ksa",1
" (G",4
"(Ge",3
"Get",4
"de)",3
"fd.",3
"mm,",2
" gå",8
"går",8
" zd",2
"nax",3
"'Hä",3
"äh,",5
"Buc",4
"Eif",1
"x o",4
"oo.",8
"rb?",2
"Flä",6
"dou",10
"ou ",6
" nó",2
"óaf",2
"at'",2
"dai",2
"o V",2
"p0Y",1
"Ped",1
"itl",4
"do?",2
"nn?",2
"tt!",1
"oro",1
" -o",1
"e/A",1
"uma",14
" zv",11
"_ni",2
"zvu",11
"V. ",1
"id,",23
"r @",19
" (f",3
"(fi",1
""Zä",1
"enf",15
"elo",33
"s).",1
"In.",1
"gt!",1
"  d",4
"TVa",1
"HTA",1
"9HW",1
"TAL",1
"jon",2
" go",12
"goa",1
"Hie",2
"irr",3
"- i",5
"kma",2
"? H",7
"." ",4
"ngs",40
"D v",1
".02",14
"hNJ",1
"wul",2
"Kra",15
"ize",4
"r O",1
"i G",10
"rgt",2
"fon",2
"FAx",1
"ifs",1
"küh",4
"izu",1
"'s,",3
"äh ",8
"jd?",1
"LaB",3
"n!"",2
"Eur",4
"Con",1
": O",3
"vyN",1
"4..",1
"Ars",2
"/ca",1
"sms",1
"clu",1
"ski",2
"b L",1
" e.",1
"e.V",1
"akr",2
"kao",1
"lg ",1
".es",1
"Qxh",1
"/Nb",1
"bzD",1
"PZM",1
"ZMg",1
"d J",7
"iml",1
"h '",1
"TP8",1
"/Yn",1
"Dei",39
"gfo",13
"85S",1
"(An",2
"5Sb",1
"bd,",15
"YIe",1
"/I0",1
"a-C",1
"HCG",1
"da.",41
"låg",11
"tl ",27
"c8w",1
"_oi",1
"Kam",6
"eh´",1
"L9W",1
"JAW",1
"  3",2
"ßde",1
"big",4
